0,64,95,92,53,48,61,13,48,25
64,0,81,80,59,28,47,51,28,43
95,81,0,51,76,79,98,82,79,74
92,80,51,0,73,70,79,79,70,75
53,59,76,73,0,43,60,40,43,28
48,28,79,70,43,0,19,35,0,27
61,47,98,79,60,19,0,48,19,44
13,51,82,79,40,35,48,0,35,12
48,28,79,70,43,0,19,35,0,27
25,43,74,75,28,27,44,12,27,0
---
0,20,12,41,67,48,61,13,48,25
20,0,28,45,59,62,71,33,62,41
12,28,0,33,59,56,69,25,56,37
41,45,33,0,34,59,72,54,59,62
67,59,59,34,0,91,96,80,91,88
48,62,56,59,91,0,19,35,0,27
61,71,69,72,96,19,0,48,19,44
13,33,25,54,80,35,48,0,35,12
48,62,56,59,91,0,19,35,0,27
25,41,37,62,88,27,44,12,27,0
